READ_CODE,DESCRIPTION
bh...,ALPHA-ADRENOCEPTOR BLOCKERS
bh1..,INDORAMIN
bh11.,*BARATOL 25mg tablets
bh12.,*BARATOL 50mg tablets
bh13.,DORALESE TILTAB 20mg tablets
bh14.,INDORAMIN 20mg tablets
bh1y.,INDORAMIN 25mg tablets
bh1z.,*INDORAMIN 50mg tablets
bh2..,PHENOXYBENZAMINE HYDROCHLORIDE [CARDIOVASCULAR USE]
bh21.,DIBENYLINE [CVS] 10mg capsules
bh22.,DIBENYLINE 100mg/2mL injection
bh2y.,PHENOXYBENZAMINE 10mg capsules
bh2z.,PHENOXYBENZAMINE 100mg/2mL injection
bh3..,PHENTOLAMINE MESYLATE
bh31.,*ROGITINE 10mg/1mL injection
bh31.,ROGITINE 10mg/1mL injection
bh32.,*ROGITINE 50mg/5mL injection
bh3y.,PHENTOLAMINE MESYL 10mg/1mL injection
bh3y.,PHENTOLAMINE MESYL 10mg/1mL injection
bh3z.,PHENTOLAMINE MESYL 50mg/5mL injection
bh4..,PRAZOSIN HYDROCHLORIDE
bh41.,HYPOVASE 500micrograms tablets
bh42.,HYPOVASE 1mg tablets
bh43.,*HYPOVASE 2mg tablets
bh44.,*HYPOVASE 5mg tablets
bh45.,HYPOVASE BD STARTER PACK tablets
bh46.,ALPHAVASE 500micrograms tablets
bh47.,*ALPHAVASE 1mg tablets
bh48.,*ALPHAVASE 2mg tablets
bh49.,*ALPHAVASE 5mg tablets
bh4A.,KENTOVACE 500micrograms tablets
bh4B.,KENTOVACE 1mg tablets
bh4C.,KENTOVACE 2mg tablets
bh4D.,KENTOVACE 5mg tablets
bh4v.,PRAZOSIN HYDROCHLORIDE STARTER PACK 500micrograms+1mg tablets
bh4w.,PRAZOSIN HYROCHLORIDE 500microgram tablets
bh4x.,PRAZOSIN HYDROCHLORIDE 1mg tablets
bh4y.,PRAZOSIN HYDROCHLORIDE 2mg tablets
bh4z.,PRAZOSIN HYDROCHLORIDE 5mg tablets
bh5..,TERAZOSIN HYDROCHLORIDE
bh51.,HYTRIN 2mg tablets
bh52.,HYTRIN 5mg tablets
bh53.,HYTRIN 10mg tablets
bh54.,HYTRIN STARTER PACK tablets
bh55.,TERAZOSIN 5mg tablets
bh56.,TERAZOSIN 10mg tablets
bh57.,HYTRIN 1mg tablets
bh5x.,TERAZOSIN 1mg tablets
bh5y.,TERAZOSIN STARTER PACK 1mg+2mg tablets
bh5z.,TERAZOSIN 2mg tablets
bh6..,DOXAZOSIN
bh61.,DOXAZOSIN 1mg tablets
bh62.,DOXAZOSIN 2mg tablets
bh63.,DOXAZOSIN 4mg tablets
bh64.,CARDURA 1mg tablets
bh65.,CARDURA 2mg tablets
bh66.,*CARDURA 4mg tablets
bh67.,CARDURA XL 4mg m/r tablets
bh68.,CARDURA XL 8mg m/r tablets
bh69.,*CASCOR 2mg tablets
bh6A.,*CASCOR 4mg tablets
bh6B.,DOXADURA 1mg tablets
bh6C.,DOXADURA 2mg tablets
bh6D.,DOXADURA 4mg tablets
bh6E.,SLOCINX XL 4mg m/r tablets
bh6F.,DOXADURA XL 4mg m/r tablets
bh6G.,OXANDOSIN XL 4mg m/r tablets
bh6H.,RAPORSIN XL 4mg m/r tablets
bh6y.,DOXAZOSIN 8mg m/r tablets
bh6z.,DOXAZOSIN 4mg m/r tablets
gc4..,PHENOXYBENZAMINE HYDROCHLORIDE [URINARY RETENTION USE]
gc41.,DIBENYLINE 10mg capsules
gc5..,TERAZOSIN HYDROCHLORIDE [see chap b for generic preps]
gc51.,HYTRIN BPH STARTER PACK tablets
gc52.,*HYTRIN BPH 2mg tablets
gc52.,HYTRIN BPH 2mg tablets
gc53.,HYTRIN BPH 5mg tablets
gc53.,*HYTRIN BPH 5mg tablets
gc54.,HYTRIN BPH 10mg tablets
gc54.,*HYTRIN BPH 10mg tablets
gc55.,HYTRIN BPH 1mg tablets
gc5z.,TERAZOSIN 1mg+2mg+5mg tablets starter pack
