DRUG_CODE_ID,DESCRIPTION,BNF1,BNF2,BNF3,ATC,DATABASE
3188341000033110,Diazepam Syrup 5 mg/5 ml    ,null,null,null,null,CPRD_AURUM
6031941000033113,Xanax Tablets 1 mg    ,null,null,null,null,CPRD_AURUM
558341000033116,Evacalm Tablets 5 mg    ,null,null,null,null,CPRD_AURUM
1351341000033112,Solis Capsules 5 mg    ,null,null,null,null,CPRD_AURUM
797141000033114,Ketazolam Capsules 30 mg    ,null,null,null,null,CPRD_AURUM
91241000033114,Atensine Tablets 10 mg    ,null,null,null,null,CPRD_AURUM
1351241000033119,Solis Capsules 2 mg    ,null,null,null,null,CPRD_AURUM
1428341000033111,Tensium Tablets 5 mg    ,null,null,null,null,CPRD_AURUM
1428141000033113,Tensium 10mg tablets (DDSA Pharmaceuticals Ltd) Tablet Oral Diazepam 10.000mg,15010401,null,null,null,CPRD_AURUM
2621341000033116,Tropium 10mg tablets (Dr Reddy's Laboratories (UK) Ltd) Tablet Oral Chlordiazepoxide hydrochloride 10.000mg,4010200,null,null,null,CPRD_AURUM
466841000033113,Diazepam 2mg tablets Tablet Oral Diazepam 2.000mg,15010401,null,null,null,CPRD_AURUM
466941000033117,Diazepam 5mg tablets Tablet Oral Diazepam 5.000mg,15010401,null,null,null,CPRD_AURUM
851141000033111,Lorazepam 1mg tablets Tablet Oral Lorazepam 1.000mg,15010401,null,null,null,CPRD_AURUM
466741000033115,Diazepam 10mg tablets Tablet Oral Diazepam 10.000mg,15010401,null,null,null,CPRD_AURUM
262841000033110,Clobazam 10mg tablets Tablet Oral Clobazam 10.000mg,4080100,null,null,null,CPRD_AURUM
1025741000033113,Oxazepam 10mg tablets Tablet Oral Oxazepam 10.000mg,4010200,null,null,null,CPRD_AURUM
172041000033110,Buspirone 5mg tablets Tablet Oral Buspirone hydrochloride 5.000mg,4010200,null,null,null,CPRD_AURUM
238141000033111,Chlordiazepoxide 5mg capsules Capsule Oral Chlordiazepoxide hydrochloride 5.000mg,4010200,null,null,null,CPRD_AURUM
238241000033116,Chlordiazepoxide 10mg capsules Capsule Oral Chlordiazepoxide hydrochloride 10.000mg,4010200,null,null,null,CPRD_AURUM
1025841000033115,Oxazepam 15mg tablets Tablet Oral Oxazepam 15.000mg,4010200,null,null,null,CPRD_AURUM
851241000033116,Lorazepam 2.5mg tablets Tablet Oral Lorazepam 2.500mg,15010401,null,null,null,CPRD_AURUM
172141000033114,Buspirone 10mg tablets Tablet Oral Buspirone hydrochloride 10.000mg,4010200,null,null,null,CPRD_AURUM
250841000033118,Chlordiazepoxide 5mg tablets Tablet Oral Chlordiazepoxide hydrochloride 5.000mg,4010200,null,null,null,CPRD_AURUM
13058141000033113,Lorazepam 500microgram tablets Tablet Oral Lorazepam 500.000microgram,null,null,null,null,CPRD_AURUM
250641000033119,Chlordiazepoxide 10mg tablets Tablet Oral Chlordiazepoxide hydrochloride 10.000mg,4010200,null,null,null,CPRD_AURUM
2762341000033113,Diazepam 2mg/5ml oral solution Oral solution Oral Diazepam 400.000microgram/1.000ml,15010401,null,null,null,CPRD_AURUM
8262941000033111,Clobazam 10mg/5ml oral suspension sugar free Oral suspension Oral Clobazam 2.000mg/1.000ml,null,null,null,null,CPRD_AURUM
458541000033117,Diazepam 10mg/2.5ml rectal solution tube Enema Rectal Diazepam 4.000mg/1.000ml,4080200,null,null,null,CPRD_AURUM
5748641000033110,Diazepam 2mg/5ml oral solution sugar free Oral solution Oral Diazepam 400.000microgram/1.000ml,null,null,null,null,CPRD_AURUM
396341000033111,Dalmane 15mg capsules (Mylan) Capsule Oral Flurazepam hydrochloride 15.000mg,4010100,null,null,null,CPRD_AURUM
458641000033116,Diazepam 5mg/2.5ml rectal solution tube Enema Rectal Diazepam 2.000mg/1.000ml,4080200,null,null,null,CPRD_AURUM
396441000033117,Dalmane 30mg capsules (Mylan) Capsule Oral Flurazepam hydrochloride 30.000mg,4010100,null,null,null,CPRD_AURUM
443641000033112,Diazepam Elixir 2 mg/5 ml    ,null,null,null,null,CPRD_AURUM
8262841000033115,Clobazam 5mg/5ml oral suspension sugar free Oral suspension Oral Clobazam 1.000mg/1.000ml,null,null,null,null,CPRD_AURUM
174141000033116,Buspar 5mg tablets (IXL Pharma Ltd) Tablet Oral Buspirone hydrochloride 5.000mg,null,null,null,null,CPRD_AURUM
901941000033111,Meprobamate 400mg tablets Tablet Oral Meprobamate 400.000mg,4010200,null,null,null,CPRD_AURUM
609541000033119,Frisium 10mg tablets (Sanofi) Tablet Oral Clobazam 10.000mg,4080100,null,null,null,CPRD_AURUM
41241000033115,Alprazolam 500microgram tablets Tablet Oral Alprazolam 500.000microgram,4010200,null,null,null,CPRD_AURUM
1383241000033113,Stesolid 10mg rectal tube (Accord Healthcare Ltd) Enema Rectal Diazepam 4.000mg/1.000ml,4080300,10020200,15010401,null,CPRD_AURUM
438241000033115,Diazepam Capsules 2 mg    ,null,null,null,null,CPRD_AURUM
41141000033110,Alprazolam 250microgram tablets Tablet Oral Alprazolam 250.000microgram,4010200,null,null,null,CPRD_AURUM
438341000033113,Diazepam Capsules 5 mg    ,null,null,null,null,CPRD_AURUM
1383341000033115,Stesolid 5mg rectal tube (Accord Healthcare Ltd) Enema Rectal Diazepam 2.000mg/1.000ml,4080300,10020200,15010401,null,CPRD_AURUM
457941000033112,Diazepam 10mg RecTubes (Wockhardt UK Ltd) Enema Rectal Diazepam 4.000mg/1.000ml,4080300,10020200,15010401,null,CPRD_AURUM
2711041000033119,Clobazam 5mg/5ml oral solution Oral solution Oral Clobazam 1.000mg/1.000ml,null,null,null,null,CPRD_AURUM
578341000033118,Flurazepam 15mg capsules Capsule Oral Flurazepam hydrochloride 15.000mg,4010100,null,null,null,CPRD_AURUM
1543541000033117,Xanax 250microgram tablets (Upjohn UK Ltd) Tablet Oral Alprazolam 250.000microgram,4010200,null,null,null,CPRD_AURUM
3993641000033114,Diazepam 2mg/5ml oral suspension Oral suspension Oral Diazepam 400.000microgram/1.000ml,null,null,null,null,CPRD_AURUM
