READ_CODE,DESCRIPTION
bl8..,NIFEDIPINE
bl81.,ADALAT 5mg capsules
bl82.,ADALAT 10mg capsules
bl83.,ADALAT RETARD 20mg m/r tablets
bl84.,ADALAT RETARD 10mg m/r tablets
bl85.,NIFEDIPINE 5mg capsules
bl86.,NIFEDIPINE 10mg capsules
bl87.,ADALAT-IC 200micrograms/2mL injection
bl88.,NIFEDIPINE-IC 200micrograms/2mL injection
bl89.,*VASAD 5mg capsules
bl8A.,ADIPINE MR 20 m/r tablets
bl8B.,ADIPINE MR 10 m/r tablets
bl8C.,*UNIPINE XL 30mg m/r tablets
bl8D.,*NIMODREL MR 10 m/r tablets
bl8E.,*NIMODREL MR 20 m/r tablets
bl8F.,NIFEDIPINE 40mg m/r tablets
bl8G.,*ANGIOPINE 40 LA m/r tablets
bl8H.,*CARDILATE MR 10mg m/r tablets
bl8J.,TENSIPINE MR 10 m/r tablets
bl8K.,TENSIPINE MR 20 m/r tablets
bl8L.,FORTIPINE LA40 m/r tablets
bl8M.,ADALAT LA 20mg m/r tablets
bl8O.,*SLOFEDIPINE 20mg m/r tablets
bl8P.,*ANGIOPINE MR 10mg m/r tablets
bl8Q.,GENALAT RETARD 10mg m/r tablets
bl8R.,GENALAT RETARD 20mg m/r tablets
bl8S.,NIFEDIPRESS MR 10 m/r tablets
bl8T.,NIVATEN RETARD 10mg m/r tablets
bl8U.,NIFEDIPRESS MR 20 m/r tablets
bl8V.,NIFEDIPINE 30mg m/r capsules
bl8W.,NIFEDIPINE 60mg m/r capsules
bl8X.,CORACTEN XL 30mg m/r capsules
bl8Y.,CORACTEN XL 60mg m/r capsules
bl8Z.,NIVATEN RETARD 20mg m/r tablets
bl8a.,*VASAD 10mg capsules
bl8b.,*CALCILAT 10mg capsules
bl8c.,*CALCIPINE 5mg capsules
bl8d.,*CALCIPINE 10mg capsules
bl8e.,CORACTEN SR 20mg m/r capsules
bl8f.,*ANGIOPINE 5mg capsules
bl8g.,*ANGIOPINE 10mg capsules
bl8h.,*NIFENSAR XL 20mg m/r tablets
bl8i.,ADALAT LA 30mg m/r tablets
bl8j.,ADALAT LA 60mg m/r tablets
bl8k.,CORACTEN SR 10mg m/r capsules
bl8l.,*CARDILATE MR 20mg m/r tablets
bl8m.,*ANGIOPINE MR 20mg tablets
bl8n.,*NIFELEASE 20mg m/r tablets
bl8o.,*CALANIF 10mg capsules
bl8p.,*CALANIF 5mg capsules
bl8q.,*HYPOLAR RETARD 20 m/r tablets
bl8r.,*NIFEDOTARD 20MR m/r tablets
bl8s.,*CORODAY MR 20mg m/r tablets
bl8t.,NIFOPRESS RETARD 20mg m/r tablets
bl8u.,NIFEDIPINE 10mg m/r capsules
bl8v.,NIFEDIPINE 20mg m/r capsules
bl8w.,NIFEDIPINE 10mg m/r tablets
bl8x.,NIFEDIPINE 30mg m/r tablets
bl8y.,NIFEDIPINE 60mg m/r tablets
bl8z.,NIFEDIPINE 20mg m/r tablets
bll..,NIFEDIPINE [2]
bll1.,SLOFEDIPINE XL 30mg m/r tablets
bll2.,SLOFEDIPINE XL 60mg m/r tablets
bll3.,*ADIPINE LA 30 m/r tablets
bll4.,*ADIPINE LA 60 m/r tablets
bll5.,HYPOLAR XL 30 m/r tablets
bll6.,CALCHAN MR 20mg m/r tablets
bll7.,CALCHAN MR 10mg m/r tablets
bll8.,KENTIPINE MR 10mg m/r tablets
bll9.,KENTIPINE MR 20mg m/r tablets
blla.,HYPOLAR RETARD 10mg m/r tablets
bllb.,VALNI 20 RETARD 20mg m/r tablets
bllc.,ADIPINE XL 30mg m/r tablets
blld.,ADIPINE XL 60mg m/r tablets
blle.,NIMODREL XL 60mg tablets
bllf.,NIMODREL XL 30mg tablets
bllg.,VALNI XL 30mg m/r tablets
bllh.,VALNI XL 60mg m/r tablets
blli.,NIDEF 30mg m/r tablets
bllj.,NIDEF 60mg m/r tablets
bllk.,ADANIF XL 30mg m/r tablets
blll.,ADANIF XL 60mg m/r tablets
bdez.,ATENOLOL+NIFEDIPINE 50mg/20mg m/r capsules
blj..,DILTIAZEM HYDROCHLORIDE 2
blj1.,ZEMTARD 120 XL m/r capsules
blj2.,ZEMTARD 180 XL m/r capsules
blj3.,ZEMTARD 240 XL m/r capsules
blj4.,*OPTIL SR 90 m/r capsules
blj5.,*OPTIL SR 120 m/r capsules
blj6.,*OPTIL SR 180 m/r capsules
blj7.,*OPTIL XL 240 m/r capsules
blj8.,*OPTIL XL 300 m/r capsules
blj9.,DILCARDIA XL 120mg m/r capsules
bljA.,DILCARDIA XL 180mg m/r capsules
bljB.,DILCARDIA XL 240mg m/r capsules
bljC.,BI-CARZEM SR 60mg m/r capsules
bljD.,BI-CARZEM SR 90mg m/r capsules
bljE.,BI-CARZEM SR 120mg m/r capsules
bljF.,*ZILDIL SR 60mg m/r capsules
bljG.,*ZILDIL SR 90mg m/r capsules
bljH.,*ZILDIL SR 120mg m/r capsules
bljJ.,SLOZEM 300mg m/r capsules
bljK.,BI-CARZEM XL 300mg m/r capsules
bljL.,BI-CARZEM XL 240mg m/r capsules
bljM.,ZEMRET 180 XL m/r capsules
bljN.,ZEMRET 240 XL m/r capsules
bljO.,ZEMRET 300 XL m/r capsules
bljP.,ADIZEM-XL 200mg m/r capsules
bljQ.,*DISOGRAM SR 60mg m/r capsules
bljR.,*DISOGRAM SR 90mg m/r capsules
bljS.,DISOGRAM SR 120mg m/r capsules
bljT.,DISOGRAM SR 180mg m/r capsules
bljU.,DISOGRAM SR 240mg m/r capsules
bljV.,DISOGRAM SR 300mg m/r capsules
bljW.,*HORIZEM SR 90mg m/r capsules
bljX.,*HORIZEM SR 120mg m/r capsules
bljY.,DILTIAZEM HYDROCHLORIDE XL 180mg m/r capsules
bljZ.,DILTIAZEM HYDROCHLORIDE XL 240mg m/r capsules
blja.,DILTIAZEM HYDROCHLORIDE XL 300mg m/r capsules
bljb.,RETALZEM MR 60mg m/r tablets
bljc.,UARD 120XL m/r capsules
bljd.,UARD 180XL m/r capsules
blje.,UARD 240XL m/r capsules
bljf.,UARD 300XL m/r capsules
bl5..,DILTIAZEM HYDROCHLORIDE
bl51.,TILDIEM 60mg tablets
bl52.,*CALCICARD 60mg tablets
bl53.,*BRITIAZIM 60mg tablets
bl54.,ADIZEM-SR 120mg m/r tablets
bl55.,DILTIAZEM HYDROCHLORIDE 120mg m/r tablets
bl56.,*ANGIOZEM 60mg tablets
bl57.,*ADIZEM 60mg tablets
bl58.,TILDIEM RETARD 90mg m/r tablets
bl59.,TILDIEM RETARD 120mg m/r tablets
bl5A.,TILDIEM LA 300mg m/r capsules
bl5B.,ADIZEM-SR 90mg m/r capsules
bl5C.,ADIZEM-SR 120mg m/r capsules
bl5D.,ADIZEM-SR 180mg m/r capsules
bl5E.,ADIZEM-XL 300mg m/r capsules
bl5F.,DILZEM SR 60mg m/r capsules
bl5G.,DILZEM SR 90mg m/r capsules
bl5H.,DILZEM SR 120mg m/r capsules
bl5I.,ADIZEM-XL 240mg m/r capsules
bl5J.,ADIZEM-XL 180mg m/r capsules
bl5K.,ADIZEM-XL 120mg m/r capsules
bl5L.,DILZEM-XL 120mg m/r capsules
bl5M.,DILZEM-XL 180mg m/r capsules
bl5N.,DILZEM-XL 240mg m/r capsules
