READ_CODE,DESCRIPTION
ft8..,SITAGLIPTIN
ft81.,JANUVIA 100mg tablets
ft82.,JANUVIA 50mg tablets
ft83.,JANUVIA 25mg tablets
ft8x.,SITAGLIPTIN 25mg tablets
ft8y.,SITAGLIPTIN 50mg tablets
ft8z.,SITAGLIPTIN 100mg tablets
fta..,VILDAGLIPTIN
fta1.,GALVUS 50mg tablets
ftaZ.,VILDAGLIPTIN 50mg tablets
ftb..,METFORMIN + VILDAGLIPTIN
ftb1.,EUCREAS 50mg/850mg tablets
ftb2.,EUCREAS 50mg/1000mg tablets
ftby.,VILDAGLIPTIN/METFORMIN 50mg/1000mg tablets
ftbz.,VILDAGLIPTIN/METFORMIN 50mg/850mg tablets
ftd..,SAXAGLIPTIN
ftd1.,ONGLYZA 5mg tablets
ftd2.,ONGLYZA 2.5mg tablets
ftdy.,SAXAGLIPTIN 2.5mg tablets
ftdz.,SAXAGLIPTIN 5mg tablets
fte..,METFORMIN + SITAGLIPTIN
fte1.,JANUMET 50mg/1000mg tablets
ftez.,SITAGLIPTIN/METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftf..,LINAGLIPTIN
ftf1.,TRAJENTA 5mg tablets
ftf2.,LINAGLIPTIN 5mg tablets
ftg..,METFORMIN + LINAGLIPTIN
ftg1.,JENTADUETO 2.5mg/850mg tablets
ftg2.,LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
ftg3.,JENTADUETO 2.5mg/1000mg tablets
ftg4.,LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
fti..,METFORMIN + SAXAGLIPTIN
fti1.,KOMBOGLYZE 2.5mg/850mg tablets
fti2.,SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
fti3.,KOMBOGLYZE 2.5mg/1000mg tablets
fti4.,SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
ftk..,ALOGLIPTIN
ftk1.,VIPIDIA 6.25mg tablets
ftk2.,ALOGLIPTIN 6.25mg tablets
ftk3.,VIPIDIA 12.5mg tablets
ftk4.,ALOGLIPTIN 12.5mg tablets
ftk5.,VIPIDIA 25mg tablets
ftk6.,ALOGLIPTIN 25mg tablets
ftl..,METFORMIN + ALOGLIPTIN
ftl1.,VIPDOMET 12.5mg/1000mg tablets
ftl2.,ALOGLIPTIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
