READ_CODE,DESCRIPTION
fw...,SHORT WITH INTERMEDIATE-ACTING INSULINS
fw1..,BIPHASIC ISOPHANE INSULIN LISPRO
fw11.,HUMALOG MIX25 100iu/mL cartridges 3mL
fw12.,HUMALOG MIX25 100iu/mL prefilled pen 3mL
fw13.,HUMALOG MIX50 100iu/mL prefilled pen 3mL
fw14.,HUMALOG MIX50 100iu/mL cartridges 3mL
fw15.,HUMALOG MIX25 KWIKPEN 100iu/mL prefilled pen 3mL
fw16.,HUMALOG MIX50 KWIKPEN 100iu/mL prefilled pen 3mL
fw2..,BIPHASIC INSULIN ASPART
fw21.,NOVOMIX 30 PENFILL 100units/mL injection cartridges 3mL
fw22.,NOVOMIX 30 FLEXPEN 100units/mL injection prefilled pen 3mL
f1...,SHORT-ACTING INSULIN PREPARATIONS
f11..,*SOLUBLE INSULIN
f111.,INSULIN 100iu/mL injection 10mL
f112.,*HYPURIN injection 10mL
f12..,SOLUBLE NEUTRAL INSULIN
f121.,NEUTRAL INSULIN 100iu/mL injection 10mL
f122.,HYPURIN NEUTRAL 100iu/mL injection 10mL
f123.,*NEUSULIN 100iu/mL injection
f124.,*QUICKSOL 100iu/mL injection
f125.,VELOSULIN 100iu/mL injection 10mL
f126.,VELOSULIN CARTRIDGE 100iu/mL injection 5.7mL
f127.,HUMAN ACTRAPID 100iu/mL injection 10mL
f128.,HUMAN ACTRAPID 100iu/mL penfill cartridges
f129.,HUMAN VELOSULIN 100iu/mL injection 10mL
f12A.,HUMAN ACTRAPID 100iu/mL penfill cartridges 1.5mL
f12B.,HUMAN ACTRAPID 100iu/mL preloaded injection pen 3mL
f12C.,HUMAJECT S 100iu/mL prefilled pen
f12D.,PORK VELOSULIN 100units/mL injection 10mL
f12E.,NEUTRAL INSULIN 100iu/mL injection cartridge
f12F.,HYPURIN BOVINE NEUTRAL 100iu/mL injection cartridge 1.5mL
f12G.,HYPURIN PORCINE NEUTRAL 100iu/mL injection cartridge 1.5mL
f12H.,HYPURIN BOVINE NEUTRAL 100iu/mL injection 10mL
f12I.,HYPURIN PORCINE NEUTRAL 100iu/mL injection 10mL
f12J.,ACTRAPID (HUMAN) PENFILL 100iu/mL cartridges 3mL
f12K.,PORK ACTRAPID 100iu/mL injection 10mL
f12L.,INSUMAN RAPID 100iu/mL injection vials 5mL
f12M.,INSUMAN RAPID 100iu/mL injection cartridge 3mL
f12N.,BD ULTRA PEN 3.0mL 1 unit device
f12P.,BD ULTRA PEN 1.5mL 1 unit device
f12Q.,INSUMAN RAPID OPTISET 100iu/mL prefilled pen 3mL
f12R.,HUMAN VELOSULIN (PYR) 100iu/mL injection 10mL
f12S.,HYPURIN BOVINE NEUTRAL 100iu/mL injection cartridge 3mL
f12T.,HYPURIN PORCINE NEUTRAL 100iu/mL injection cartridge 3mL
f12U.,EXUBERA 1mg powder for inhalation
f12V.,EXUBERA 3mg powder for inhalation
f12W.,HUMAN INSULIN 1mg powder for inhalation
f12X.,HUMAN INSULIN 3mg powder for inhalation
f12Y.,INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL
f12Z.,INSUMAN INFUSAT 100iu/mL solution for injection vials 10mL
f12a.,HUMULIN S 100iu/mL injection 10mL
f12b.,*NOVOPEN
f12c.,*PENJECT
f12d.,PUR-IN NEUTRAL 100iu/mL vials 10mL
f12e.,PUR-IN NEUTRAL 100iu/mL cartridges 3mL
f12f.,*AUTOPEN
f12g.,HUMULIN S 100iu/mL cartridges 1.5mL
f12h.,*NOVOPEN II device
f12i.,*BD PEN device
f12j.,*PUR-IN PEN device
f12k.,*PUR-IN PEN 1 device
f12m.,*PUR-IN PEN 2 device
f12n.,*PUR-IN PEN 4 device
f12p.,*DIAPEN 1 device
f12q.,*DIAPEN 2 device
f12r.,*NOVOPEN I device
f12s.,HUMULIN S 100iu/mL cartridges 3mL
f12t.,*AUTOPEN 1.5mL one unit device
f12u.,*AUTOPEN 1.5mL two unit device
f12v.,*AUTOPEN 3mL two unit device
f12y.,HUMAN INSULIN 100units/mL injection cartridge
f12z.,HUMAN INSULIN 100iu/mL injection vials
f13..,INSULIN LISPRO
f131.,INSULIN LISPRO 100iu/mL vials
f132.,HUMALOG 100iu/mL injection 10mL
f133.,INSULIN LISPRO 100iu/mL cartridges
f134.,HUMALOG 100iu/mL cartridges 1.5mL
f135.,HUMALOG 100iu/mL cartridges 3mL
f136.,INSULIN LISPRO 100iu/mL prefilled pen
f137.,HUMALOG-PEN 100iu/mL prefilled pen 3mL
f138.,HUMALOG KWIKPEN 100iu/mL prefilled pen 3mL
f139.,HUMALOG KWIKPEN 200iu/mL prefilled pen 3mL
f13A.,INSULIN LISPRO 200iu/mL prefilled pen
f14..,INSULIN ASPART
f141.,NOVORAPID 100units/mL injection vial
f142.,NOVORAPID NOVOLET 100units/mL prefilled syringe 3mL
f143.,NOVORAPID PENFILL 100units/mL cartridges 3mL
f144.,NOVORAPID FLEXPEN 100units/mL prefilled pen 3mL
f145.,NOVORAPID FLEXTOUCH 100units/mL soln for injection pen 3mL
f146.,NOVORAPID PUMPCART 100units/mL soln for inj cartridges 1.6mL
f14w.,INSULIN ASPART 100units/mL prefilled pen
f14x.,INSULIN ASPART 100units/mL injection vial
