READ_CODE,DESCRIPTION
fth..,DAPAGLIFLOZIN
fth1.,FORXIGA 5mg tablets
fth2.,FORXIGA 10mg tablets
fth3.,DAPAGLIFLOZIN 5mg tablets
fth4.,DAPAGLIFLOZIN 10mg tablets
ftm..,METFORMIN + DAPAGLIFLOZIN
ftm1.,XIGDUO 5mg/850mg tablets
ftm2.,DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftm3.,XIGDUO 5mg/1000mg tablets
ftm4.,DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftn..,CANAGLIFLOZIN
ftn1.,INVOKANA 100mg tablets
ftn2.,CANAGLIFLOZIN 100mg tablets
ftn3.,INVOKANA 300mg tablets
ftn4.,CANAGLIFLOZIN 300mg tablets
fto..,EMPAGLIFLOZIN
fto1.,JARDIANCE 10mg tablets
fto2.,EMPAGLIFLOZIN 10mg tablets
fto3.,JARDIANCE 25mg tablets
fto4.,EMPAGLIFLOZIN 25mg tablets
ftp..,METFORMIN + CANAGLIFLOZIN
ftp1.,VOKANAMET 50mg/850mg tablets
ftp2.,CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/850mg tablets
ftp3.,VOKANAMET 50mg/1000mg tablets
ftp4.,CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftr..,METFORMIN + EMPAGLIFLOZIN
ftr1.,SYNJARDY 5mg/850mg tablets
ftr2.,EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftr3.,SYNJARDY 5mg/1000mg tablets
ftr4.,EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr5.,SYNJARDY 12.5mg/850mg tablets
ftr6.,EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/850mg tablets
ftr7.,SYNJARDY 12.5mg/1000mg tablets
ftr8.,EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
