READ_CODE,DESCRIPTION
f3...,SULPHONYLUREAS
f3...,SULFONYLUREAS
f31..,*ACETOHEXAMIDE
f311.,*DIMELOR 500mg tablets
f31z.,*ACETOHEXAMIDE 500mg tablets
f32..,CHLORPROPAMIDE
f321.,CHLORPROPAMIDE 100mg tablets
f322.,CHLORPROPAMIDE 250mg tablets
f323.,*DIABINESE 100mg tablets
f324.,*DIABINESE 250mg tablets
f325.,GLYMESE 250mg tablets
f33..,GLIBENCLAMIDE
f331.,GLIBENCLAMIDE 2.5mg tablets
f332.,GLIBENCLAMIDE 5mg tablets
f333.,*DAONIL 5mg tablets
f334.,*SEMI-DAONIL 2.5mg tablets
f335.,*EUGLUCON 2.5mg tablets
f336.,*EUGLUCON 5mg tablets
f337.,*LIBANIL 2.5mg tablets
f338.,*LIBANIL 5mg tablets
f339.,*MALIX 2.5mg tablets
f33a.,*MALIX 5mg tablets
f33b.,*DAONIL CP 5mg tablets
f33c.,*SEMI-DAONIL CP 2.5mg tablets
f33d.,*DIABETAMIDE 2.5mg tablets
f33e.,*DIABETAMIDE 5mg tablets
f33f.,*CALABREN 2.5mg tablets
f33g.,*CALABREN 5mg tablets
f34..,*GLIBORNURIDE
f341.,*GLUTRIL 25mg tablets
f34z.,*GLIBORNURIDE 25mg tablets
f35..,GLICLAZIDE
f351.,DIAMICRON 80mg tablets
f352.,DIAGLYK 80mg tablets
f353.,VIVAZIDE 80mg tablets
f354.,DIAMICRON MR 30mg m/r tablets
f355.,NAZDOL MR 30mg m/r tablets
f356.,EDICIL MR 30mg m/r tablets
f357.,ZICRON 40mg tablets
f358.,VITILE XL 30mg m/r tablets
f359.,LAAGLYDA MR 60mg m/r tablets
f35A.,VAMJU 30mg m/r tablets
f35B.,VAMJU 60mg m/r tablets
f35C.,BILXONA 30mg m/r tablets
f35D.,BILXONA 60mg m/r tablets
f35w.,GLICLAZIDE 60mg m/r tablets
f35x.,GLICLAZIDE 40mg tablets
f35y.,GLICLAZIDE 30mg m/r tablets
f35z.,GLICLAZIDE 80mg tablets
f36..,GLIPIZIDE
f361.,GLIPIZIDE 5mg tablets
f362.,*GLIBENESE 5mg tablets
f363.,*MINODIAB 2.5mg tablets
f364.,MINODIAB 5mg tablets
f36y.,*GLIPIZIDE 5mg tablets
f36z.,GLIPIZIDE 2.5mg tablets
f37..,GLIQUIDONE
f371.,*GLURENORM 30mg tablets
f37z.,*GLIQUIDONE 30mg tablets
f38..,*GLYMIDINE
f381.,*GONDAFON 500mg tablets
f38z.,*GLYMIDINE 500mg tablets
f39..,TOLAZAMIDE
f391.,TOLANASE 100mg tablets
f392.,TOLANASE 250mg tablets
f39y.,TOLAZAMIDE 100mg tablets
f39z.,TOLAZAMIDE 250mg tablets
f3A..,GLIMEPIRIDE
f3A1.,GLIMEPIRIDE 2mg tablets
f3A2.,AMARYL 2mg tablets
f3A3.,GLIMEPIRIDE 1mg tablets
f3A4.,GLIMEPIRIDE 3mg tablets
f3A5.,GLIMEPIRIDE 4mg tablets
f3A6.,AMARYL 1mg tablets
f3A7.,AMARYL 3mg tablets
f3A8.,AMARYL 4mg tablets
f3A9.,NIDDARYL 1mg tablets
f3AA.,NIDDARYL 2mg tablets
f3AB.,NIDDARYL 3mg tablets
f3AC.,NIDDARYL 4mg tablets
f3a..,TOLBUTAMIDE
f3a1.,TOLBUTAMIDE 500mg tablets
f3a2.,GLYCONON 500mg tablets
f3a3.,*PRAMIDEX 500mg tablets
f3a4.,*RASTINON 500mg tablets
