READ_CODE,DESCRIPTION
b2...,THIAZIDE DIURETICS
b21..,BENDROFLUMETHIAZIDE
b211.,BENDROFLUMETHIAZIDE 2.5mg tablets
b212.,BENDROFLUMETHIAZIDE 5mg tablets
b213.,APRINOX 2.5mg tablets
b214.,APRINOX 5mg tablets
b215.,*BERKOZIDE 2.5mg tablets
b216.,*BERKOZIDE 5mg tablets
b217.,*CENTYL 2.5mg tablets
b218.,*CENTYL 5mg tablets
b219.,NEO-NACLEX 5mg tablets
b21A.,*NEO-BENDROMAX 2.5mg tablets
b21B.,*NEO-BENDROMAX 5mg tablets
b21a.,*URIZIDE 5mg tablets
b21b.,NEO-NACLEX 2.5mg tablets
b22..,CHLOROTHIAZIDE
b221.,*SALURIC 500mg tablets
b222.,DIURIL 250mg/5mL oral suspension
b22y.,CHLOROTHIAZIDE 250mg/5mL oral suspension
b22z.,*CHLOROTHIAZIDE 500mg tablets
b23..,CHLORTALIDONE
b231.,HYGROTON 50mg tablets
b232.,*HYGROTON 100mg tablets
b23y.,CHLORTALIDONE 50mg tablets
b23z.,*CHLORTHALIDONE 100mg tablets
b24..,CLOPAMIDE [INGREDIENT see bdek]
b25..,CYCLOPENTHIAZIDE
b251.,NAVIDREX 500micrograms tablets
b25z.,CYCLOPENTHIAZIDE 500microgram tablets
b26..,HYDROCHLOROTHIAZIDE
b261.,*ESIDREX 25mg tablets
b262.,*ESIDREX 50mg tablets
b263.,*HYDROSALURIC 25mg tablets
b264.,*HYDROSALURIC 50mg tablets
b26y.,HYDROCHLOROTHIAZIDE 50mg tablets
b26z.,HYDROCHLOROTHIAZIDE 25mg tablets
b27..,HYDROFLUMETHIAZIDE
b271.,*HYDRENOX 50mg tablets
b27z.,HYDROFLUMETHIAZIDE 50mg tablets
b28..,INDAPAMIDE
b281.,NATRILIX 2.5mg tablets
b282.,*NINDAXA 2.5mg tablets
b283.,*NATRAMID 2.5mg tablets
b284.,*OPUMIDE 2.5mg tablets
b285.,INDAPAMIDE 1.5mg m/r tablets
b286.,NATRILIX SR 1.5mg m/r tablets
b287.,ETHIBIDE XL 1.5mg m/r tablets
b288.,INDIPAM XL 1.5mg m/r tablets
b289.,MAPEMID XL 1.5mg m/r tablets
b28z.,INDAPAMIDE 2.5mg tablets
b29..,MEFRUSIDE
b291.,*BAYCARON 25mg tablets
b29z.,*MEFRUSIDE 25mg tablets
b2a..,*METHYCLOTHIAZIDE
b2a1.,*ENDURON 5mg tablets
b2az.,*METHYCLOTHIAZIDE 5mg tablets
b2b..,METOLAZONE
b2b1.,*METENIX-5 5mg tablets
b2b2.,*XURET 500micrograms tablets
b2b3.,METOLAZONE 500micrograms tablets
b2bz.,*METOLAZONE 5mg tablets
b2c..,POLYTHIAZIDE
b2c1.,*NEPHRIL 1mg tablets
b2cz.,*POLYTHIAZIDE 1mg tablets
b2d..,XIPAMIDE
b2d1.,DIUREXAN 20mg tablets
b2dz.,XIPAMIDE 20mg tablets
b91c.,BENDROFLUMETHIAZIDE+POTASSIUM 2.5mg/7.7mmol m/r tablets
b91e.,CHLORTHALIDONE tablets+POTASSIUM m/r tablets 25mg/6.7mmol pack
b91h.,BENDROFLUMETHIAZIDE+POTASSIUM 2.5mg/8.4mmol m/r tablets
b913.,*CENTYL K m/r tablets
b915.,*ESIDREX K tablets
b916.,HYGROTON K tablets combination pack
b919.,*NAVIDREX-K tablets
b91a.,NEO-NACLEX-K tablets
bde1.,*CO-BETALOC tablets
bde2.,*CO-BETALOC SA m/r tablets
bde3.,*CORGARETIC-40 tablets
bde4.,*CORGARETIC-80 tablets
bde5.,*INDERETIC capsules
bde6.,*INDEREX m/r capsules
bde7.,KALTEN capsules
bde9.,*LOPRESORETIC tablets
bdeA.,METOPROLOL TART+HYDROCHLOROTHIAZIDE 100mg/12.5mg tablets
bdeB.,METOPROLOL TART+HYDROCHLOROTHIAZIDE 200mg/25mg m/r tablets
bdeC.,METOPROLOL TART+CHLORTHALIDONE 100mg/12.5mg tablets
bdeD.,NADOLOL+BENDROFLUMETHIAZIDE 40mg/5mg tablets
bdeE.,NADOLOL+BENDROFLUAZIDE 80mg/5mg tablets
bdeG.,PINDOLOL+CLOPAMIDE 10mg/5mg tablets
bdeH.,SOTALOL HCL+HYDROCHLOROTHIAZIDE 160mg/25mg tablets
bdeJ.,SOTALOL HCL+HYDROCHLOROTHIAZIDE 80mg/12.5mg tablets
bdeK.,TIMOLOL MALEATE+CO-AMILOZIDE 10mg/2.5mg/25mg tablets
bdeL.,TIMOLOL MALEATE+BENDROFLUMETHIAZIDE 10mg/2.5mg tablets
bdeM.,TIMOLOL MALEATE+BENDROFLUAZIDE 20mg/5mg tablets
bdeN.,TOTARETIC 50mg/12.5mg tablets
bdeO.,TOTARETIC 100mg/25mg tablets
bdeP.,ATENOLOL+BENDROFLUAZIDE 25mg/1.25mg capsules
bdeQ.,*TENBEN capsules
bdea.,*MODUCREN tablets
bdeb.,PRESTIM tablets
bdec.,*PRESTIM FORTE tablets
bded.,*SECADREX tablets
bdee.,*SOTAZIDE tablets
bdeg.,TENORET-50 tablets
bdeh.,TENORETIC tablets
bdei.,*TOLERZIDE tablets
bdej.,*TRASIDREX tablets
bdek.,VISKALDIX tablets
bdel.,*CO-PRENOZIDE tablets
bdem.,CO-TENIDONE 50/12.5mg tablets
bden.,CO-TENIDONE 100/25mg tablets
bdeo.,ATENIXCO 50/12.5mg tablets
bdep.,*ATENIXCO 100/25mg tablets
bdeq.,*TENCHLOR 50/12.5mg tablets
bder.,*TENCHLOR 100/25mg tablets
bdeu.,CO-PRENOZIDE 160/0.25mg m/r tablets
bdev.,PROPRANOLOL HCL+BENDROFLUAZIDE 80mg/2.5mg capsules
bdew.,PROPRANOLOL HCL+BENDROFLUAZIDE 160mg/5mg m/r capsules
bdex.,ACEBUTOLOL+HYDROCHLOROTHIAZIDE 200mg/12.5mg tablets
bdey.,ATENOLOL+CO-AMILOZIDE 50mg/2.5mg/25mg capsules
bdf7.,*MONOZIDE-10 tablets
bdf8.,BISOPROLOL FUMARATE+HYDROCHLOROTHIAZIDE 10mg/6.25mg tablets
bf2j.,METHYLDOPA+HYDROCHLOROTHIAZIDE 250mg/15mg tablets
