READ_CODE,DESCRIPTION
ft5..,PIOGLITAZONE
ft51.,ACTOS 15mg tablets
ft52.,ACTOS 30mg tablets
ft53.,ACTOS 45mg tablets
ft54.,GLIDIPION 15mg tablets
ft55.,GLIDIPION 30mg tablets
ft56.,GLIDIPION 45mg tablets
ft5x.,PIOGLITAZONE 45mg tablets
ft5y.,PIOGLITAZONE 30mg tablets
ft5z.,PIOGLITAZONE 15mg tablets
ft4..,ROSIGLITAZONE
ft41.,*AVANDIA 4mg tablets
ft42.,*AVANDIA 8mg tablets
ft43.,*AVANDAMET 1mg / 500mg tablets
ft44.,*AVANDAMET 2mg / 500mg tablets
ft45.,AVANDAMET 2mg / 1000mg tablets
ft46.,AVANDAMET 4mg / 1000mg tablets
ft4u.,ROSIGLITAZONE 2mg / METFORMIN 1000mg tablets
ft4v.,ROSIGLITAZONE 4mg / METFORMIN 1000mg tablets
ft4w.,ROSIGLITAZONE 2mg / METFORMIN 500mg tablets
ft4x.,ROSIGLITAZONE 1mg / METFORMIN 500mg tablets
ft4y.,*ROSIGLITAZONE 8mg tablets
ft4z.,*ROSIGLITAZONE 4mg tablets
ft7..,METFORMIN + PIOGLITAZONE
ft71.,COMPETACT 15mg/850mg tablets
ft7z.,METFORMIN 850mg/PIOGLITAZONE 15mg tablets
ft2..,TROGLITAZONE
ft21.,*TROGLITAZONE 200mg tablets
ft22.,*TROGLITAZONE 300mg tablets
ft23.,*TROGLITAZONE 400mg tablets
ft24.,*ROMOZIN 200mg tablets
ft25.,*ROMOZIN 300mg tablets
ft26.,*ROMOZIN 400mg tablets
